playerID,yearID,SorR,stint,teamID,lgID,W,L,G,GS,GSPct,IPouts,IP,H,ER,HR,BB,WHIP,SO,SOPer9IP,ERA,R
rossbu02,1939,starter,1,PHA,AL,6,14,29,28,96.55172414,522,174,216,116,17,95,1.79,43,2.22,6,143
ruffire01,1939,starter,1,NYA,AL,21,7,28,28,100,700,233.3333333,211,76,15,75,1.23,95,3.66,2.93,88
russeja01,1939,reliever,1,CHN,NL,4,3,39,0,0,206,68.66666667,78,28,3,24,1.49,32,4.19,3.67,32
schumha02,1939,starter,1,NY1,NL,13,10,29,27,93.10344828,545,181.6666667,199,97,14,89,1.59,58,2.87,4.81,106
shouncl01,1939,reliever,1,SLN,NL,3,1,53,2,3.773584906,309,103,98,43,4,42,1.36,50,4.37,3.76,51
waltebu01,1939,starter,1,CIN,NL,27,11,39,36,92.30769231,957,319,250,81,15,109,1.13,137,3.87,2.29,98
applepe01,1940,reliever,1,CHA,AL,4,0,25,0,0,173,57.66666667,54,36,8,28,1.42,21,3.28,5.62,39
aukerel01,1940,starter,1,SLA,AL,16,11,38,35,92.10526316,791,263.6666667,299,116,17,96,1.5,78,2.66,3.96,129
babicjo01,1940,starter,1,PHA,AL,14,13,31,30,96.77419355,688,229.3333333,222,95,16,80,1.32,94,3.69,3.73,111
beggsjo01,1940,reliever,1,CIN,NL,12,3,37,1,2.702702703,230,76.66666667,68,17,1,21,1.16,25,2.93,2,19
bentoal01,1940,reliever,1,DET,AL,6,10,42,0,0,238,79.33333333,93,39,5,36,1.63,50,5.67,4.42,44
